2024-03-08T14:00:00-08:00 to 2024-03-08T15:00:00-08:00,0.5174631055319084,2024-03-08T14:00:00-08:00 to 2024-03-08T15:00:00-08:00,0.518001,2024-03-08T14:00:00-08:00 to 2024-03-08T15:00:00-08:00,0.586079,-0.0005378944680916042
2024-03-08T15:00:00-08:00 to 2024-03-08T16:00:00-08:00,0.5513355947025256,2024-03-08T15:00:00-08:00 to 2024-03-08T16:00:00-08:00,0.551908,2024-03-08T15:00:00-08:00 to 2024-03-08T16:00:00-08:00,0.624443,-0.0005724052974743765
2024-03-08T16:00:00-08:00 to 2024-03-08T17:00:00-08:00,0.7443083062450981,2024-03-08T16:00:00-08:00 to 2024-03-08T17:00:00-08:00,0.745081,2024-03-08T16:00:00-08:00 to 2024-03-08T17:00:00-08:00,0.843004,-0.0007726937549018542
2024-03-08T17:00:00-08:00 to 2024-03-08T18:00:00-08:00,0.8722422009339753,2024-03-08T17:00:00-08:00 to 2024-03-08T18:00:00-08:00,0.873148,2024-03-08T17:00:00-08:00 to 2024-03-08T18:00:00-08:00,0.987902,-0.0009057990660247262
2024-03-08T18:00:00-08:00 to 2024-03-08T19:00:00-08:00,1.0983395651773624,2024-03-08T18:00:00-08:00 to 2024-03-08T19:00:00-08:00,1.09948,2024-03-08T18:00:00-08:00 to 2024-03-08T19:00:00-08:00,1.24398,-0.0011404348226375927
2024-03-08T19:00:00-08:00 to 2024-03-08T20:00:00-08:00,1.0777409526147907,2024-03-08T19:00:00-08:00 to 2024-03-08T20:00:00-08:00,1.07886,2024-03-08T19:00:00-08:00 to 2024-03-08T20:00:00-08:00,1.22065,-0.001119047385209182
2024-03-08T20:00:00-08:00 to 2024-03-08T21:00:00-08:00,1.0687881051486752,2024-03-08T20:00:00-08:00 to 2024-03-08T21:00:00-08:00,1.0699,2024-03-08T20:00:00-08:00 to 2024-03-08T21:00:00-08:00,1.21051,-0.0011118948513249016
2024-03-08T21:00:00-08:00 to 2024-03-08T22:00:00-08:00,0.9313786720962525,2024-03-08T21:00:00-08:00 to 2024-03-08T22:00:00-08:00,0.932346,2024-03-08T21:00:00-08:00 to 2024-03-08T22:00:00-08:00,1.05488,-0.0009673279037475391
2024-03-08T22:00:00-08:00 to 2024-03-08T23:00:00-08:00,0.7566621762397618,2024-03-08T22:00:00-08:00 to 2024-03-08T23:00:00-08:00,0.757448,2024-03-08T22:00:00-08:00 to 2024-03-08T23:00:00-08:00,0.856996,-0.000785823760238169
2024-03-08T23:00:00-08:00 to 2024-03-09T00:00:00-08:00,0.6100111796342984,2024-03-08T23:00:00-08:00 to 2024-03-09T00:00:00-08:00,0.610645,2024-03-08T23:00:00-08:00 to 2024-03-09T00:00:00-08:00,0.690899,-0.0006338203657015873
